[ 2025-07-07 18:56:24,069 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 18:58:41,298 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:00:51,784 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:01:43,423 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:01:43,436 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 20250707
[ 2025-07-07 19:01:43,436 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
[ 2025-07-07 19:01:46,207 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_BSCH03_10.200.170.78_20250707020505.xml.gz
[ 2025-07-07 19:01:46,309 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:02:15,513 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250707
[ 2025-07-07 19:05:04,253 ] [ PARSER_XML ][ INFO ] All files have been processed.
[ 2025-07-07 19:07:34,272 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:07:34,272 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 2025
[ 2025-07-07 19:07:34,272 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
[ 2025-07-07 19:07:34,343 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_LNDS1171_The-Center_10.6.16.97_20250701021018.xml.gz
[ 2025-07-07 19:07:34,343 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:07:35,147 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250701
[ 2025-07-07 19:07:57,722 ] [ PARSER_XML ][ INFO ] All files have been processed.
[ 2025-07-07 19:10:43,351 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:10:43,351 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 2025
[ 2025-07-07 19:10:43,351 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
[ 2025-07-07 19:10:43,431 ] [ PARSER_XML ][ INFO ] Extracted a gz file C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\GExport_LNDS1171_The-Center_10.6.16.97_20250701021018.xml.gz
[ 2025-07-07 19:10:43,431 ] [ PARSER_XML ][ INFO ] Processing file number (000/001)
[ 2025-07-07 19:10:44,781 ] [ PARSER_XML ][ INFO ] Exporting files to C:\Users\ALI.MANSOOR\Downloads\TEMP_DELETE\Huawei MR Data 2025-06-15\dumpparsing\output\20250707_1910
[ 2025-07-07 19:10:44,781 ] [ PARSER_XML ][ INFO ] NE Date found is : 20250701
[ 2025-07-07 19:11:08,671 ] [ PARSER_XML ][ INFO ] All files have been processed.
[ 2025-07-07 19:12:37,161 ] [ PARSER_XML ][ INFO ] Initialized a new Parser object. Name of the thread is ParserGUI
[ 2025-07-07 19:12:37,161 ] [ PARSER_XML ][ WARNING ] Date filter is overridden. Will use this filter for directory. 2025
[ 2025-07-07 19:12:37,161 ] [ PARSER_XML ][ INFO ] Total files to be processed are : 1
